epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4530.29,1.353,2.1936,1.54518,0.24279,0.2413,0.28416,0.14713,1.7022,2.26908,1.78969,0.000554356,0.000554356,0.000554356
2,11470.9,1.49373,2.09838,1.66107,0.2596,0.35457,0.24092,0.12494,1.7799,2.22625,1.87498,0.00107339,0.00107339,0.00107339
3,24866.7,1.45342,2.04359,1.63645,0.30063,0.36688,0.26545,0.13259,1.74933,2.1765,1.80045,0.00155575,0.00155575,0.00155575
4,33897.2,1.38538,1.89722,1.57712,0.41909,0.48757,0.35849,0.19223,1.64354,1.87033,1.66428,0.00150197,0.00150197,0.00150197
