epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5168.57,1.35198,2.18895,1.54934,0.23409,0.34957,0.17631,0.0762,1.9472,2.66541,2.04044,0.000554356,0.000554356,0.000554356
2,8180.59,1.50011,2.10458,1.66381,0.25224,0.32342,0.20861,0.10069,1.92796,2.40571,1.92753,0.00107339,0.00107339,0.00107339
3,11021.3,1.4635,2.04423,1.64218,0.35012,0.34477,0.26101,0.14768,1.79524,2.28755,1.81746,0.00155575,0.00155575,0.00155575
4,13898.9,1.39833,1.9093,1.58914,0.41107,0.44708,0.35911,0.19437,1.67829,1.86232,1.69858,0.00150197,0.00150197,0.00150197
5,16837.2,1.32637,1.79245,1.51923,0.39758,0.46493,0.36318,0.21168,1.57438,1.89791,1.61629,0.00144696,0.00144696,0.00144696
6,19781.5,1.27525,1.71418,1.48868,0.37888,0.54851,0.40104,0.22993,1.46873,1.59516,1.52241,0.00139195,0.00139195,0.00139195
7,22730.5,1.22997,1.60939,1.46344,0.44313,0.52494,0.43041,0.24624,1.50904,1.56069,1.52328,0.00133693,0.00133693,0.00133693
8,25884.4,1.2107,1.57138,1.43742,0.39161,0.57096,0.42986,0.26551,1.41111,1.55007,1.47261,0.00128192,0.00128192,0.00128192
